# furniture seed prompts for the Clay assistant training corpus, 2026-09-12
#
# One subject per line: `class | prompt`. Blank lines and `#` lines are
# ignored. Parsed by scripts/campaign_props.read_corpus. class is one of
# easy | medium | hard, meaning difficulty of *construction* -- which parts
# of Clay's surface the object cannot be built without -- exactly as defined
# in docs/measurements/corpora/clay-agent-v1.txt's header:
#   easy   -- primitives, placement and materials alone.
#   medium -- needs a boolean, a lathe/sweep profile, an array op, or
#             element-mode selection and a topology op.
#   hard   -- needs a swept or tapered form along a path.
#
# Held-out rule: the five clay-agent-v1.txt subjects and their near
# neighbours (a four-legged wooden chair with a slatted back; a mechanical
# bracket with two bolt holes and a right-angle gusset; a brass telescope on
# a tripod; an eight-column colonnade on a stepped round base; a serpentine
# creature tapering head to tail on four legs) must never appear here, and
# the words slatted, gusset, telescope, tripod, colonnade, fluted,
# serpentine are avoided throughout this file.

easy | a plain four-legged wooden table with a rectangular top
easy | a small square nightstand with one drawer
easy | a wooden bookshelf with four open shelves
easy | a low platform bed base with no headboard, 2m by 1.6m
easy | a rustic bench made from a single thick plank on two block legs
easy | a tall narrow bookshelf, five shelves, leaning slightly
easy | a child's toy chest shaped like a plain rectangular box
easy | a wooden stool with a round seat and three straight legs
easy | an office desk with a flat top and two solid side panels for legs
easy | a small round side table about 40 centimetres tall
easy | a padded ottoman shaped like a thick cube
easy | a wardrobe with two tall square doors
easy | a wooden crate-style end table
easy | a long dining bench with a plain rectangular seat
easy | a metal folding table with a thin rectangular top
easy | a plain wooden dining chair with a solid back panel
easy | a small three-tier shelf unit, each shelf a thin rectangle
easy | a squat wooden coffee table, 30cm tall and a metre wide
easy | a sci-fi cargo bench, a simple slab on two support blocks
easy | a modern minimalist desk with a single slab top and one thick central leg
easy | a medieval wooden footstool, just a small flat box
easy | a fantasy campfire log bench, a plain cylinder on two blocks
easy | a bathroom vanity cabinet, a rectangular box with a flat top
easy | a tall wine rack shaped like an open box frame
easy | a low wooden plant stand, a small square top on four thin legs
medium | a wooden dining table with four lathe-turned legs
medium | an armchair with a boolean-cut hand-hold in each armrest
medium | a round pedestal table standing on a single lathe-turned column
medium | a bar stool with a lathe-turned leg and a round padded seat
medium | a four-poster bed with lathe-turned corner posts
medium | a bookshelf whose shelves are held up by a repeating row of support pegs
medium | a wine rack with a grid of round bottle holes cut through the front
medium | a rocking chair with two curved runners under a plain seat
medium | a folding camp chair with a fabric seat stretched between crossed legs
medium | a vanity table with a round mirror mounted above a cabinet
medium | an office chair on a five-point wheeled base, arranged in a radial pattern
medium | a church pew with a repeating row of identical seat divots
medium | a dresser with three drawers, each front cut with a recessed handle
medium | a coat rack with a ring of pegs arranged radially around a central post
medium | a side table with one lathe-turned leg under a round top
medium | a garden bench with decorative cut-outs along the backrest
medium | a fantasy throne with a high back and a carved circular emblem cut into it
medium | a workbench with a row of identical drawer slots along the front
medium | a nightstand with a round cut-out finger pull in the drawer face
medium | a wine barrel side table with a boolean-cut hole for an umbrella pole
hard | a wooden chair leg that tapers smoothly from a thick top to a narrow foot
hard | a curved chaise longue whose frame sweeps from headrest to footrest
hard | a table with legs that taper and curve outward like a cabriole leg
hard | a bench whose single continuous rail sweeps up into a backrest
hard | a stool whose three legs taper and curve outward like tusks
