# figures seed prompts for the Clay assistant training corpus, 2026-09-13
#
# This family exists because Run A (Q8_0) refused 9 of 232 eval replies with
# `no object named '...'` -- creatures guessing clay_add_figure part names
# (hound_Beak, t_Shank.R, s_Tail 01) instead of using the real ones. The
# family teaches exactly that: every one of the eight clay_add_figure keys,
# every part of every key addressed by a real {"$ref": "<prefix><part>"} at
# least three times across the family (drafts/_gen_figures.py asserts this
# by walking the emitted records rather than trusting the recipe list by
# eye).
#
# Format, matching seeds/creatures.txt and seeds/edits.txt: one subject per
# line, `class | prompt` for a build, `class | <starting figure> :: <edit
# request>` for an edit -- `::` is a plain convention inside the free-text
# prompt, not special syntax. Blank lines and `#` lines are ignored. class is
# easy | medium | hard, meaning difficulty of *construction* per
# docs/measurements/corpora/clay-agent-v1.txt's header: easy is an
# unmodified (or lightly scaled/dressed) clay_add_figure preset; medium is a
# reshape (clay_transform/clay_set_params on named parts), a recolour of
# named parts, or a delete-and-replace of one named part; hard is two
# figures placed together or a replace that also reshapes the surrounding
# body.
#
# Unlike creatures.txt, drafts/_gen_figures.py does not read this file at
# runtime -- it is a hand-authored Python recipe list kept in the same order
# as the lines below, the same "Authoring in parallel" convention
# seeds/creatures.txt's own header describes.
#
# Held-out rule: the five clay-agent-v1.txt subjects and their near
# neighbours must never appear here or in the generated prompts. The words
# slatted, gusset, telescope, tripod, colonnade, fluted, and the phrase
# "serpentine creature" are avoided throughout this file, along with the
# bare bigrams (head, tail), (short, legs), (four, short), (body, tapers),
# (tail, four), (flat, plate), (wooden, chair) and (round, base).

# --- builds: one unmodified or lightly styled figure, sometimes two -------
easy | a humanoid figure in plain steel-grey armour, standing at ease
easy | a biped creature with a tail, plain grey-green hide
easy | a basic quadruped figure, brown hide
easy | a bird figure with rust-brown feathers
easy | a serpent figure with dark green scales
easy | a fish figure with orange scales
easy | an insect figure with glossy black chitin
easy | a blob figure in glossy teal ooze

# --- builds: reshape named parts and recolour an accent, same figure ------
medium | a broad-shouldered armoured humanoid with gilded hands and boots
medium | a biped with a tail stretched long and curling upward, darker head
medium | a bulkier quadruped with pale feet, like it is wearing socks
medium | a bird with dramatically lengthened wingtips and a gilded beak
medium | a serpent with an enlarged, darker head and a narrowed tail tip
medium | a fish with a tall dorsal fin and silver side fins
medium | an insect with lengthened forelegs and a green abdomen
medium | a blob with an enlarged crown and differently coloured side lobes
medium | a bird figure with an oversized beak, toucan-like
medium | a stocky quadruped figure with an oversized head

# --- builds: delete one named part, add a primitive in its place ----------
medium | an armoured humanoid figure wearing a pointed helmet instead of a bare head
medium | a quadruped figure with its stub tail replaced by a long curved tail
medium | a blob figure with a tall spike where its crown used to be
medium | an insect figure with a pair of blocky pincers instead of mandibles

# --- builds: delete a hand, add a held prop in its place -------------------
medium | a smith figure holding a hammer in place of one hand

# --- builds: two figures placed together ------------------------------------
hard | a knight figure standing beside its steed
hard | a goblin figure next to a small ooze
hard | a hawk figure perched near a beetle figure

# --- builds: a figure with a small prop resting beside it -------------------
medium | a serpent figure coiled beside a smooth stone
medium | a fish figure near a rounded stone on a pond floor
medium | an insect figure resting on a flat leaf
medium | a blob figure oozing up against a mossy stone

# --- edits: prior places one figure (plus at most a prop), calls reshape,
# --- recolour or replace a part addressed by its real name -----------------
easy | a plain armoured humanoid figure :: paint the knight's left forearm red
medium | a biped creature with a short tail :: make the imp's tail longer
medium | a basic quadruped figure :: make the dog's tail longer
medium | a plain bird figure :: swap the bird's head for a cone
easy | a simple fish figure :: paint the fish's dorsal fin blue
medium | a serpent figure :: give the serpent a bigger head
easy | a basic insect figure :: paint the beetle's left mandible black
medium | a plain blob figure :: make the blob's crown bigger
easy | a basic quadruped figure :: add an armour plate to the horse's chest
