# grounding seed prompts for the Clay assistant training corpus, 2026-09-13
#
# One base build per line: `class | prompt`. Blank lines and `#` lines are
# ignored, parsed by drafts/_gen_grounding.py's own read_seed_lines (not
# scripts/campaign_props.read_corpus -- that module imports warlock
# transitively, and this file's own reader, like every drafts/_gen_*.py
# recipe, must not). class is one of easy | medium | hard, meaning
# difficulty of *construction* -- which parts of Clay's surface the object
# cannot be built without -- exactly as defined in
# docs/measurements/corpora/clay-agent-v1.txt's header and reused verbatim
# by seeds/creatures.txt:
#   easy   -- primitives, placement and materials alone (here: a single
#             cylinder/cone/capsule/box, or several of them assembled with
#             no boolean, lathe/sweep/tube profile or element-mode op).
#   medium -- needs a boolean, a lathe/sweep profile, an array op, or
#             element-mode selection and a topology op (here: every lathe
#             vessel and every sweep-outline object).
#   hard   -- needs a swept or tapered form along a path (here: every tube,
#             whose path is exactly that).
#
# This class is about generator/tool-surface complexity only, never about
# the grounding technique itself: a "safety-net" idiom row (clay_select +
# clay_op drop-to-ground appended after the object is built) is not on its
# own reason to call a row harder than the same shape built with the
# "computed" idiom -- drop-to-ground repositions an already-built object, it
# does not add to what had to be built. Both idioms appear across all three
# classes here.
#
# The prompt on each line is that base build's first phrasing
# (`prompts[0]` in drafts/_gen_grounding.py's own `add()` call), one line
# per base build, in the same order the recipes are added in that file.
# drafts/_gen_grounding.py checks this file against its own recipes at
# import time (see the assertions just above `def main()`), so the two
# cannot drift silently.
#
# No held-out-corpus subject (chair, mechanical bracket, telescope,
# colonnade, serpentine creature) appears here; "bracket arm" below names a
# hanging sign's support the same way the plan's own brief does, not a
# stand-alone mechanical bracket.

easy | a fallen log lying on the ground
easy | a wagon wheel standing upright on the ground
easy | a sword blade lying on the ground
easy | a rolling pin lying on a kitchen counter
easy | a fence rail lying on the ground
easy | a traffic cone knocked over on the ground
easy | a party hat fallen on the floor
easy | a megaphone lying on the ground
easy | a canister fallen on its side
easy | a pill capsule resting on a tray
medium | a tall vase standing on a table
medium | a stemmed goblet standing on a shelf
medium | a slender bottle standing on a counter
medium | a decorative urn standing in a garden
easy | a sign hanging from a bracket arm on a post
easy | a lantern hanging from a hook on a post
easy | a bell hanging under a frame
easy | a planter hanging from an arm on a post
easy | a wind chime hanging under a crossbar
easy | a fence post leaning at an angle, resting on the ground
easy | a ladder rail tilted slightly, lying on the floor
easy | a length of pipe resting against a wall, its foot on the floor
easy | a signpost leaning over, its base resting on the ground
medium | a vase fallen on its side on the floor
medium | a jug tipped over on the ground
medium | an urn toppled over on the ground
medium | a bottle fallen on the floor
hard | a garden hose lying coiled on the ground
hard | a shepherd's hook standing in the garden
hard | a coil of rope lying on the ground
hard | a bent exhaust pipe lying on the ground
medium | a standing extruded post on the ground
medium | a metal beam fallen on the ground
medium | a standing decorative moulding on the floor
medium | a small plinth toppled over on the ground
easy | a potion vial fallen on its side on a table
easy | a dropped pill lying on the floor
easy | a barrel tipped over on the ground
