# vehicles & tools seed prompts for the Clay assistant training corpus,
# 2026-09-12
#
# One subject per line: `class | prompt`. Blank lines and `#` lines are
# ignored. Parsed by scripts/campaign_props.read_corpus. class is one of
# easy | medium | hard, meaning difficulty of *construction* -- which parts
# of Clay's surface the object cannot be built without -- exactly as defined
# in docs/measurements/corpora/clay-agent-v1.txt's header:
#   easy   -- primitives, placement and materials alone.
#   medium -- needs a boolean, a lathe/sweep profile, an array op, or
#             element-mode selection and a topology op.
#   hard   -- needs a swept or tapered form along a path.
#
# Held-out rule: the five clay-agent-v1.txt subjects and their near
# neighbours must never appear here, and the words slatted, gusset,
# telescope, tripod, colonnade, fluted, serpentine are avoided throughout
# this file.

easy | a simple wooden handcart with two wheels
easy | a plain wooden wheelbarrow
easy | a round wooden shield, flat and simple
easy | a basic hammer with a cylindrical handle and a rectangular head
easy | a plain wooden mallet
easy | a simple hand axe with a short handle
easy | a plain metal pickaxe head on a straight handle
easy | a simple wooden cart with four wheels
easy | a basic garden shovel with a flat blade
easy | a plain wooden crossbow stock
easy | a plain rowboat oar, a long flat paddle
easy | a simple wooden walking staff
easy | a basic hand trowel
easy | a plain wooden torch, a cylinder with a rounded top
easy | a simple pickup truck bed liner, a rectangular box
easy | a plain metal anvil block
easy | a basic wooden ladder
easy | a simple hand rake with a flat head
easy | a plain wooden bucket cart, just a box on wheels
easy | a basic fishing rod, a long thin cylinder
easy | a simple wooden broom
easy | a plain riding saddle blank, a flattened box shape
easy | a basic wooden crate dolly, a flat platform on four wheels
easy | a simple round buckler shield, small and flat
easy | a plain wooden yoke bar
medium | a hammer with a capsule-shaped weighted head
medium | a wagon wheel with spokes arranged in a radial pattern
medium | a shield with a symmetrical emblem mirrored across its face
medium | a war axe with a crescent blade mirrored around the haft
medium | a two-wheeled cart with a boolean-cut axle socket
medium | a pickaxe with a capsule grip and two mirrored pick points
medium | a longbow with a mirrored curve on either side of the grip
medium | a wheelbarrow with a single wheel mounted in a cut-out fork
medium | a battle mace with a capsule-shaped studded head
medium | a shield boss, a domed cap mounted at the centre of a round shield
medium | a wrench with two mirrored jaw prongs
medium | a sled with two mirrored curved runners
medium | a cart wheel rim with evenly spaced spokes arranged radially
medium | a spear with a capsule-shaped counterweight at the butt end
medium | a double-bladed axe, mirrored blades on either side of the haft
medium | a hand plow with a mirrored pair of blades
medium | a chariot with two wheels, each with a radial spoke pattern
medium | a tool belt pouch, a capsule-shaped bag on a strap
medium | a fishing net weight, a capsule-shaped sinker
medium | a shield with a row of rivets arranged radially around its rim
hard | a longsword whose blade tapers smoothly from a wide base to a sharp point
hard | a curved sabre whose blade sweeps and tapers along a gentle arc
hard | a war horn that tapers along a swept curve from mouthpiece to bell
hard | a scythe blade that curves and tapers along a swept path from handle to tip
hard | a spear whose shaft tapers gradually along its swept length toward the tip

# added 2026-09-12: the family paragraph's own scope names boats, hovercraft,
# rockets, and tanks/bikes explicitly, and the original pass above only
# reached them through an oar and a wagon wheel -- these fill that in.
easy | a simple wooden wagon with a bench seat and four wheels
easy | a small flat-bottomed rowboat hull, open on top
easy | a basic round-topped hovercraft platform with a low skirt
easy | a simple toy rocket with a cone nose on a cylindrical body
easy | a plain boxy tank hull with a round turret on top
easy | a basic bicycle frame with two wheels and a straight handlebar
medium | a rowboat hull with two mirrored bench seats
medium | a hovercraft with a radial ring of lift vents around its rim
medium | a rocket with a mirrored pair of tail fins
medium | a tank hull with two mirrored tread guards along its sides
medium | a bicycle with a capsule-shaped seat cushion
hard | a rowboat hull that tapers along a swept length from a wide stern to a narrow bow
